date,Days Type,Daily,Weekly,Monthly,FIrstDayofmonth,LastDayoftheMonth,WeekNum,WeekName
1/1/2018,Calendar days,1,1,1,1/1/2018,12/31/2017,1,Monday
1/2/2018,Calendar days,1,2,2,1/1/2018,12/31/2017,1,Tuesday
1/3/2018,Calendar days,1,3,3,1/1/2018,12/31/2017,1,Wednesday
1/4/2018,Calendar days,1,4,4,1/1/2018,12/31/2017,1,Thursday
1/5/2018,Calendar days,1,5,5,1/1/2018,12/31/2017,1,Friday
1/6/2018,Calendar days,1,6,6,1/1/2018,12/31/2017,1,Saturday
1/7/2018,Calendar days,1,7,7,1/1/2018,12/31/2017,2,Sunday
1/8/2018,Calendar days,1,1,8,1/1/2018,12/31/2017,2,Monday
1/9/2018,Calendar days,1,2,9,1/1/2018,12/31/2017,2,Tuesday
1/10/2018,Calendar days,1,3,10,1/1/2018,12/31/2017,2,Wednesday
1/11/2018,Calendar days,1,4,11,1/1/2018,12/31/2017,2,Thursday
1/12/2018,Calendar days,1,5,12,1/1/2018,12/31/2017,2,Friday
1/13/2018,Calendar days,1,6,13,1/1/2018,12/31/2017,2,Saturday
1/14/2018,Calendar days,1,7,14,1/1/2018,12/31/2017,3,Sunday
1/15/2018,Calendar days,1,1,15,1/1/2018,12/31/2017,3,Monday
1/16/2018,Calendar days,1,2,16,1/1/2018,12/31/2017,3,Tuesday
1/17/2018,Calendar days,1,3,17,1/1/2018,12/31/2017,3,Wednesday
1/18/2018,Calendar days,1,4,18,1/1/2018,12/31/2017,3,Thursday
1/19/2018,Calendar days,1,5,19,1/1/2018,12/31/2017,3,Friday
1/20/2018,Calendar days,1,6,20,1/1/2018,12/31/2017,3,Saturday
1/21/2018,Calendar days,1,7,21,1/1/2018,12/31/2017,4,Sunday
1/22/2018,Calendar days,1,1,22,1/1/2018,12/31/2017,4,Monday
1/23/2018,Calendar days,1,2,23,1/1/2018,12/31/2017,4,Tuesday
1/24/2018,Calendar days,1,3,24,1/1/2018,12/31/2017,4,Wednesday
1/25/2018,Calendar days,1,4,25,1/1/2018,12/31/2017,4,Thursday
1/26/2018,Calendar days,1,5,26,1/1/2018,12/31/2017,4,Friday
1/27/2018,Calendar days,1,6,27,1/1/2018,12/31/2017,4,Saturday
1/28/2018,Calendar days,1,7,28,1/1/2018,12/31/2017,5,Sunday
1/29/2018,Calendar days,1,1,29,1/1/2018,12/31/2017,5,Monday
1/30/2018,Calendar days,1,2,30,1/1/2018,12/31/2017,5,Tuesday
1/31/2018,Calendar days,1,3,31,1/1/2018,12/31/2017,5,Wednesday
2/1/2018,Calendar days,1,4,1,2/1/2018,1/31/2018,5,Thursday
2/2/2018,Calendar days,1,5,2,2/1/2018,1/31/2018,5,Friday
2/3/2018,Calendar days,1,6,3,2/1/2018,1/31/2018,5,Saturday
2/4/2018,Calendar days,1,7,4,2/1/2018,1/31/2018,6,Sunday
2/5/2018,Calendar days,1,1,5,2/1/2018,1/31/2018,6,Monday
2/6/2018,Calendar days,1,2,6,2/1/2018,1/31/2018,6,Tuesday
2/7/2018,Calendar days,1,3,7,2/1/2018,1/31/2018,6,Wednesday
2/8/2018,Calendar days,1,4,8,2/1/2018,1/31/2018,6,Thursday
2/9/2018,Calendar days,1,5,9,2/1/2018,1/31/2018,6,Friday
2/10/2018,Calendar days,1,6,10,2/1/2018,1/31/2018,6,Saturday
2/11/2018,Calendar days,1,7,11,2/1/2018,1/31/2018,7,Sunday
2/12/2018,Calendar days,1,1,12,2/1/2018,1/31/2018,7,Monday
2/13/2018,Calendar days,1,2,13,2/1/2018,1/31/2018,7,Tuesday
2/14/2018,Calendar days,1,3,14,2/1/2018,1/31/2018,7,Wednesday
2/15/2018,Calendar days,1,4,15,2/1/2018,1/31/2018,7,Thursday
2/16/2018,Calendar days,1,5,16,2/1/2018,1/31/2018,7,Friday
2/17/2018,Calendar days,1,6,17,2/1/2018,1/31/2018,7,Saturday
2/18/2018,Calendar days,1,7,18,2/1/2018,1/31/2018,8,Sunday
2/19/2018,Calendar days,1,1,19,2/1/2018,1/31/2018,8,Monday
2/20/2018,Calendar days,1,2,20,2/1/2018,1/31/2018,8,Tuesday
2/21/2018,Calendar days,1,3,21,2/1/2018,1/31/2018,8,Wednesday
2/22/2018,Calendar days,1,4,22,2/1/2018,1/31/2018,8,Thursday
2/23/2018,Calendar days,1,5,23,2/1/2018,1/31/2018,8,Friday
